id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
195852183,6345258326968,Bình giữ nhiệt bằng thép không gỉ LocknLock Jumbo Tumbler LHC4300 có:Dung tích bình lơn (900 ml) Quai xách chống trượt Miệng bình rộng dễ dàng cho đá vào và dễ dàng chùi rửa Có khay lọc ngăn đá ho...,365000,730000,,365000,50,226,,available,,1000,1000,,48077,LocknLock
262362970,2681401040591,DUNG TÍCH CỐC LỚN ĐỦ ĐỂ CUNG CẤP LƯỢNG NƯỚC HÀNG NGÀYCa giữ nhiệt Flat Table Mug LocknLock LHC4320 để bàn dung tích 730ml giúp bạn duy trì lượng nước cho cơ thểTAY CẦM THOẢI MÁITay cầm nặng giúp b...,256000,540000,,284000,53,77,,available,,1000,1000,,48077,LocknLock
53583472,4451468802389,"Bộ Hộp Cơm Giữ Nhiệt Lock&Lock Easy Carry 2L LHC8039 Có Túi (1 Hộp 720ml, 2 Hộp 420ml Kèm 1 Bộ Muỗng Và Nĩa) được làm bằng chất liệu thép không gỉ cao cấp, không những bền chắc mà còn mang lại hi...",800000,1667000,,867000,52,2612,,available,,1000,1000,,48077,LocknLock
52760599,1154831578678,"Dây đèn LED đom đóm với nhiều bóng nhỏ nối tiếp với khả năng chống nước IP44 để có thể trang trí ngoài trời vào dịp lễ, Tết, giáng sinh.Có nhiều độ dài khác nhau để sử dụng tùy theo mục đích.Sử dụng n...",79000,79000,,0,0,243,,available,,1000,1000,,111461,OEM
174236741,8584642860617,Găng tay cao su tự nhiên Lock&Lock ETM83có móc treo tiện lợi có thể móc lên sau khi sử dụng hoặc giặt rửa.Chất liệu 100% cao su tự nhiên không chứa BPA độc hại.Bảo vệ da và móng giúp tay bạn tr...,27000,56000,,29000,52,117,,available,,1000,1000,,48077,LocknLock
17593518,7271078876801,"Bộ Hộp Cơm Giữ Nhiệt Thép Không Gỉ Lock & Lock LHC8031SLV-OCH - Bạc Gồm 3 hộp: 1 Hộp cơm 460ml, 1 hộp thức ăn 420ml và 1 hộp 280ml, 1 túi đựng, 1 đôi đũaThiết kế sang trọng, đường né...",617000,1285000,,668000,52,925,,available,,1000,1000,,48077,LocknLock
226036798,9070987023180,"Bình Giữ Nhiệt LocknLock 550ml LHC3249 với phần nắp bật dễ dàng mở và thưởng thức đồ uốngHọa tiết hoa anh đào mới lạ, trẻ trungChất liệu bình bằng thép không gỉ 316L giúp sản phẩm chịu nhiệt và chố...",269000,549000,,280000,51,91,,available,,1000,1000,,48077,LocknLock
3480627,9330774535233,"  Bộ Cây Lau Nhà Xoay Tay Compact Spin Mop Lock&Lock ETM466: Thùng Giặt + Cây + Bông LauThùng chứa được làm bằng chất liệu nhựa PP cao cấp, chất lượng, có khả năng chịu được va đập tốt, cho độ...",436000,924000,,488000,53,1283,,available,,1000,1000,,48077,LocknLock
892121,8567702194984,"Pin Max 8 + 4 Viên Energizer E91 BP8+4 AA là sản phẩm có thể sử dụng cho các loại máy ảnh, điều khiển từ xa, đèn Pin, máy chơi game không dây, máy nghe nhạc MP3 và các thiết bị kỹ thuật số cá nhân kh...",129000,129000,,0,0,394,,available,,1000,1000,,19312,Energizer
203757099,4278396651296,MÔ TẢ SẢN PHẨM Ổ Cắm Điện Du Lịch Quốc Tế Đa Năng Tamayoko - Trợ thủ không thể thiếu của bạnTích hợp 3 cổng USB-A và 1 cổng USB type C công suất 15W cho phép sạc nhanh nhiều thiết bị cùng lúcC...,475000,500000,,25000,5,44,,available,,1000,1000,,4244853,Tamayoko
